env,shift,horizon,baseline_receding_horizon,baseline_success_rate,drop_fraction,threshold_success_rate,half_life_receding_horizon,half_life_env_steps,mean_success_rate,min_success_rate,min_success_receding_horizon,max_success_rate,max_success_receding_horizon,success_at_max_receding_horizon,max_tested_receding_horizon,num_points
pusht,id,1,1,62.0,0.5,31.0,,,62.0,62.0,1,62.0,1,62.0,1,1
pusht,id,2,1,64.0,0.5,32.0,,,66.0,64.0,1,68.0,2,68.0,2,2
pusht,id,3,1,42.0,0.5,21.0,,,58.666667,42.0,1,76.0,3,76.0,3,3
pusht,id,5,1,24.0,0.5,12.0,,,38.0,20.0,2,70.0,5,70.0,5,4
pusht,id,8,1,18.0,0.5,9.0,,,26.0,18.0,1,56.0,8,56.0,8,5
pusht,id,10,1,10.0,0.5,5.0,,,15.666667,6.0,2,40.0,10,40.0,10,6
pusht,visual,1,1,0.0,0.5,0.0,1,5,0.0,0.0,1,0.0,1,0.0,1,1
pusht,visual,2,1,6.0,0.5,3.0,,,6.0,6.0,1,6.0,1,6.0,2,2
pusht,visual,3,1,0.0,0.5,0.0,1,5,0.0,0.0,1,0.0,1,0.0,3,3
pusht,visual,5,1,2.0,0.5,1.0,3,15,2.0,0.0,3,4.0,5,4.0,5,4
pusht,visual,8,1,2.0,0.5,1.0,3,15,1.6,0.0,3,4.0,5,0.0,8,5
pusht,visual,10,1,0.0,0.5,0.0,1,5,1.333333,0.0,1,4.0,8,2.0,10,6
pusht,geometry,1,1,46.0,0.5,23.0,,,46.0,46.0,1,46.0,1,46.0,1,1
pusht,geometry,2,1,32.0,0.5,16.0,,,36.0,32.0,1,40.0,2,40.0,2,2
pusht,geometry,3,1,24.0,0.5,12.0,,,31.333333,24.0,1,40.0,3,40.0,3,3
pusht,geometry,5,1,10.0,0.5,5.0,,,17.5,10.0,1,26.0,5,26.0,5,4
pusht,geometry,8,1,4.0,0.5,2.0,,,10.0,4.0,1,22.0,8,22.0,8,5
pusht,geometry,10,1,4.0,0.5,2.0,,,8.666667,4.0,1,22.0,10,22.0,10,6
