env,shift,variations,warm_start,horizon,receding_horizon,action_block,verify_gap_env_steps,seed,num_eval,success_rate,returncode,elapsed_sec,log_path
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",false,5,1,5,5,42,50,8.0,0,334.1200416088104,outputs/lghl_phase4_warm_start_n50/logs/geometry_cold_h5_r1.log
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",false,5,3,5,15,42,50,8.0,0,170.93954205513,outputs/lghl_phase4_warm_start_n50/logs/geometry_cold_h5_r3.log
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",false,5,5,5,25,42,50,26.0,0,160.0684518814087,outputs/lghl_phase4_warm_start_n50/logs/geometry_cold_h5_r5.log
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",true,5,1,5,5,42,50,12.0,0,329.5402534008026,outputs/lghl_phase4_warm_start_n50/logs/geometry_warm_h5_r1.log
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",true,5,3,5,15,42,50,24.0,0,160.9188687801361,outputs/lghl_phase4_warm_start_n50/logs/geometry_warm_h5_r3.log
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",true,5,5,5,25,42,50,30.0,0,107.06765103340149,outputs/lghl_phase4_warm_start_n50/logs/geometry_warm_h5_r5.log
pusht,id,,false,5,1,5,5,42,50,18.0,0,321.92104625701904,outputs/lghl_phase4_warm_start_n50/logs/id_cold_h5_r1.log
pusht,id,,false,5,3,5,15,42,50,10.0,0,163.7253167629242,outputs/lghl_phase4_warm_start_n50/logs/id_cold_h5_r3.log
pusht,id,,false,5,5,5,25,42,50,70.0,0,97.60595941543579,outputs/lghl_phase4_warm_start_n50/logs/id_cold_h5_r5.log
pusht,id,,true,5,1,5,5,42,50,24.0,0,317.91799235343933,outputs/lghl_phase4_warm_start_n50/logs/id_warm_h5_r1.log
pusht,id,,true,5,3,5,15,42,50,38.0,0,155.8673713207245,outputs/lghl_phase4_warm_start_n50/logs/id_warm_h5_r3.log
pusht,id,,true,5,5,5,25,42,50,72.0,0,101.11544752120972,outputs/lghl_phase4_warm_start_n50/logs/id_warm_h5_r5.log
pusht,visual,"background.color,agent.color,block.color,goal.color",false,5,1,5,5,42,50,0.0,0,344.0577747821808,outputs/lghl_phase4_warm_start_n50/logs/visual_cold_h5_r1.log
pusht,visual,"background.color,agent.color,block.color,goal.color",false,5,3,5,15,42,50,2.0,0,173.8012409210205,outputs/lghl_phase4_warm_start_n50/logs/visual_cold_h5_r3.log
pusht,visual,"background.color,agent.color,block.color,goal.color",false,5,5,5,25,42,50,0.0,0,113.49569869041443,outputs/lghl_phase4_warm_start_n50/logs/visual_cold_h5_r5.log
pusht,visual,"background.color,agent.color,block.color,goal.color",true,5,1,5,5,42,50,2.0,0,339.87710785865784,outputs/lghl_phase4_warm_start_n50/logs/visual_warm_h5_r1.log
pusht,visual,"background.color,agent.color,block.color,goal.color",true,5,3,5,15,42,50,0.0,0,176.3186068534851,outputs/lghl_phase4_warm_start_n50/logs/visual_warm_h5_r3.log
pusht,visual,"background.color,agent.color,block.color,goal.color",true,5,5,5,25,42,50,2.0,0,111.41018843650818,outputs/lghl_phase4_warm_start_n50/logs/visual_warm_h5_r5.log
