plan_horizon,k,latent_mse,cost_spearman,top1_same,top5_overlap,top10_overlap,true_cost_regret,first_block_l2
1,0,5.3828659e-14,1,1,1,1,0,0
1,1,0.021909822,0.97379053,0.81999999,0.83400011,0.84400004,0.9695366,0.89596879
1,2,0.049956694,0.95280153,0.77999997,0.7980001,0.83200002,2.2910421,0.9553504
1,3,0.085638873,0.91696495,0.56999999,0.73600006,0.75599998,3.2126701,1.9737763
1,4,0.1355333,0.91434294,0.60000002,0.69400007,0.74900001,6.4166222,1.7995172
1,5,0.19567366,0.87954664,0.51999998,0.6680001,0.70699996,11.252977,2.2699349
1,6,0.27531233,0.87191659,0.5,0.616,0.67600006,9.6681948,2.2589927
1,7,0.34407866,0.85178465,0.41,0.55199999,0.60500002,16.761429,2.4444098
1,8,0.42446864,0.83001304,0.38,0.50600004,0.55500001,14.279774,2.7070456
1,9,0.49007758,0.76017481,0.23999999,0.31800002,0.41900003,14.812039,2.836952
1,10,0.53338218,0.55523705,0.07,0.10200001,0.14000002,13.780274,3.7841699
2,0,5.4570714e-14,1,1,1,1,0,0
2,1,0.011477468,0.98521751,0.80000001,0.86800003,0.87800002,0.87356657,0.91596091
2,2,0.0269206,0.96752739,0.69999999,0.80000007,0.82700014,3.2669525,1.376418
2,3,0.054507833,0.94836038,0.62,0.7240001,0.759,5.9590559,1.601768
2,4,0.091659881,0.90830809,0.56999999,0.69,0.73699999,9.5781546,1.9000442
2,5,0.14062308,0.8766349,0.54000002,0.616,0.65199989,12.955225,1.8815832
2,6,0.20545846,0.83826941,0.47,0.55599999,0.58199996,25.283411,2.1179001
2,7,0.28306958,0.82613778,0.43000001,0.47800004,0.54799998,34.159012,2.3245838
2,8,0.36407322,0.80189931,0.38,0.45399997,0.52400005,33.418358,2.4414966
2,9,0.47730088,0.77779037,0.079999998,0.28400001,0.35599998,31.055988,3.8041971
2,10,0.56871372,0.5897097,0.02,0.108,0.17600003,33.311615,4.0712337
3,0,5.4094682e-14,1,1,1,1,0,0
3,1,0.014624124,0.97815514,0.75,0.82000017,0.85000002,2.3775017,1.1362367
3,2,0.032940689,0.95502412,0.69,0.74000007,0.79700005,6.4792681,1.4242635
3,3,0.05249422,0.92407203,0.70999998,0.71200007,0.73899996,7.0177898,1.1779659
3,4,0.090198167,0.89096075,0.62,0.68800008,0.71399999,17.969053,1.6611019
3,5,0.15237486,0.88082802,0.57999998,0.59400004,0.671,25.841545,1.757895
3,6,0.21887624,0.87786883,0.51999998,0.56799996,0.62500006,26.324902,1.9663962
3,7,0.29523957,0.84331518,0.43000001,0.48400003,0.56500006,29.862383,2.0722873
3,8,0.37016332,0.82038093,0.20999999,0.40399998,0.46900001,31.127441,3.4736087
3,9,0.46271041,0.78448558,0.20999999,0.27399999,0.36899999,25.571739,3.2531846
3,10,0.54751962,0.66273469,0.1,0.2,0.26300001,24.888559,3.7510953
5,0,5.4607455e-14,1,1,1,1,0,0
5,1,0.014394868,0.98010463,0.74000001,0.8300001,0.86000007,4.7955074,1.1482373
5,2,0.032522921,0.96379006,0.74000001,0.74600005,0.79300004,10.165103,1.1176206
5,3,0.06164863,0.94210088,0.80000001,0.74199998,0.76899999,11.960903,0.77557427
5,4,0.094685793,0.92639059,0.75,0.70999998,0.73200005,15.816223,1.017859
5,5,0.1333964,0.91114509,0.74000001,0.64199996,0.69400001,17.032793,1.0500351
5,6,0.19216754,0.89015746,0.54000002,0.57200003,0.62199998,24.963757,1.7744757
5,7,0.26332095,0.86094522,0.34999999,0.46800005,0.542,36.502701,2.6932998
5,8,0.35645545,0.85170221,0.25,0.37799999,0.48099998,36.691578,3.2731881
5,9,0.43572754,0.81876296,0.18000001,0.33000001,0.426,28.990019,3.5043426
5,10,0.49812028,0.74176675,0.14,0.27000001,0.34,23.51046,3.4346609
