goal_offset,metric,H=1,H=2,H=3,H=5,H=8,H=10,best_H_by_success
5,success_rate,98.0000,100.0000,98.0000,96.0000,68.0000,52.0000,2
5,mean_best_distance,55.4989,54.5455,56.4388,54.9269,60.3685,59.8038,
5,mean_final_distance,93.5367,93.8928,104.1587,120.6001,121.1658,120.7849,
5,mean_time_to_success,3.0816,6.3400,9.6122,19.9375,22.8235,22.4231,
10,success_rate,96.0000,94.0000,90.0000,88.0000,80.0000,70.0000,1
10,mean_best_distance,98.0090,67.3182,62.9747,57.7621,61.0511,62.0146,
10,mean_final_distance,171.5259,118.0161,137.3584,126.4681,138.0082,121.5987,
10,mean_time_to_success,4.3958,8.0638,12.6222,19.9318,30.2750,31.5429,
15,success_rate,86.0000,90.0000,90.0000,84.0000,70.0000,44.0000,2
15,mean_best_distance,109.3267,75.0433,66.8517,66.1781,61.0275,67.9462,
15,mean_final_distance,222.3933,173.1906,156.2092,122.4697,146.4461,130.9921,
15,mean_time_to_success,6.0000,10.0667,15.8222,23.9524,35.7143,40.3636,
25,success_rate,62.0000,76.0000,80.0000,76.0000,56.0000,40.0000,3
25,mean_best_distance,95.3276,87.7924,77.0715,68.2142,68.2278,59.7545,
25,mean_final_distance,225.5404,194.4652,165.3198,159.9809,146.8382,97.9051,
25,mean_time_to_success,8.2581,13.1579,15.8250,26.6316,37.2857,45.9000,
50,success_rate,28.0000,34.0000,46.0000,42.0000,30.0000,24.0000,3
50,mean_best_distance,144.8434,118.6858,106.0592,101.0025,97.6388,100.5167,
50,mean_final_distance,361.9226,332.5256,252.0608,238.7486,201.0404,191.1597,
50,mean_time_to_success,8.4286,11.6471,19.7826,27.2381,35.0000,39.2500,
