shift,k,mean_nearest_j,mean_offset,frac_lag,frac_ontime,frac_overshoot,mean_dist_to_k,mean_dist_to_nearest,onmanifold_gap
geometry,1,0.9355555555555556,-0.06444444444444444,0.17833333333333334,0.7638888888888888,0.05777777777777778,3.234580119450887,2.6235222021738687,0.6110579172770182
geometry,2,1.8961111111111109,-0.10388888888888888,0.2088888888888889,0.6972222222222221,0.0938888888888889,4.614614327748616,3.918956995010376,0.6956573327382406
geometry,3,2.763888888888889,-0.23611111111111113,0.28722222222222227,0.5916666666666667,0.12111111111111111,5.72894287109375,4.956568082173665,0.7723747889200846
geometry,4,3.6266666666666665,-0.37333333333333335,0.3327777777777778,0.5361111111111111,0.13111111111111112,6.715898036956787,5.852894465128581,0.8630035718282064
geometry,5,4.427777777777778,-0.5722222222222223,0.37166666666666665,0.4883333333333333,0.14,7.649023691813151,6.698164939880371,0.9508587519327799
geometry,6,5.1816666666666675,-0.8183333333333334,0.4155555555555555,0.4366666666666667,0.14777777777777779,8.514227549235025,7.470465342203776,1.04376220703125
geometry,7,5.850555555555555,-1.1494444444444445,0.4527777777777778,0.4072222222222222,0.14,9.260038057963053,8.151638984680176,1.1083990732828777
geometry,8,6.555555555555556,-1.4444444444444444,0.47500000000000003,0.39166666666666666,0.13333333333333333,9.973825454711914,8.789237340291342,1.184588114420573
geometry,9,7.181666666666666,-1.8183333333333334,0.5272222222222221,0.35333333333333333,0.11944444444444445,10.558821360270182,9.329711278279623,1.2291100819905598
geometry,10,7.673888888888889,-2.326111111111111,0.5822222222222222,0.4177777777777778,0.0,11.042158444722494,9.83592669169108,1.2062317530314128
id,1,1.005,0.005,0.011666666666666667,0.9766666666666667,0.011666666666666667,1.5797349214553833,1.5711135069529216,0.008621414502461752
id,2,2.025,0.024999999999999998,0.018333333333333333,0.9488888888888889,0.032777777777777774,2.352299133936564,2.3233273029327393,0.02897183100382487
id,3,3.0288888888888894,0.02888888888888889,0.031111111111111107,0.916111111111111,0.052777777777777785,3.122458299001058,3.0769962469736734,0.04546205202738444
id,4,4.017222222222222,0.017222222222222222,0.05666666666666667,0.875,0.06833333333333334,3.9543019930521646,3.8754759629567466,0.07882603009541829
id,5,4.955555555555556,-0.044444444444444446,0.0838888888888889,0.8561111111111112,0.06,4.815814018249512,4.708346366882324,0.1074676513671875
id,6,5.909444444444444,-0.09055555555555556,0.11777777777777777,0.8022222222222223,0.08,5.7210001945495605,5.562975883483887,0.15802431106567383
id,7,6.851666666666667,-0.14833333333333332,0.13999999999999999,0.7861111111111111,0.07388888888888889,6.609492142995198,6.416099866231282,0.19339227676391602
id,8,7.760000000000001,-0.24,0.16277777777777777,0.7666666666666666,0.07055555555555555,7.488559087117513,7.249112447102864,0.23944664001464844
id,9,8.61277777777778,-0.3872222222222222,0.20333333333333334,0.725,0.07166666666666667,8.285785039265951,8.004303773244223,0.2814812660217285
id,10,9.422777777777776,-0.5772222222222222,0.27,0.73,0.0,8.975307782491049,8.615374247233072,0.3599335352579753
visual,1,2.302222222222222,1.3022222222222224,0.4383333333333333,0.12833333333333333,0.43333333333333335,4.531707604726155,4.182316144307454,0.34939146041870117
visual,2,3.0005555555555556,1.0005555555555554,0.4766666666666666,0.09500000000000001,0.4283333333333334,6.370443185170491,5.958508809407552,0.41193437576293945
visual,3,3.513333333333333,0.5133333333333333,0.4961111111111111,0.08833333333333333,0.4155555555555555,7.4618026415507,7.030643939971924,0.43115870157877606
visual,4,3.8633333333333333,-0.1366666666666667,0.54,0.06944444444444445,0.39055555555555554,8.25422445933024,7.759867827097575,0.494356632232666
visual,5,4.022222222222222,-0.9777777777777779,0.5872222222222222,0.06388888888888888,0.34888888888888886,8.8807004292806,8.345653851826986,0.5350465774536133
visual,6,4.176111111111111,-1.823888888888889,0.6327777777777778,0.06444444444444446,0.30277777777777776,9.413039843241373,8.838874816894531,0.5741650263468424
visual,7,4.277777777777778,-2.7222222222222228,0.6844444444444444,0.06777777777777777,0.24777777777777776,9.904676755269369,9.2789888381958,0.6256879170735677
visual,8,4.3277777777777775,-3.672222222222222,0.7461111111111111,0.06999999999999999,0.18388888888888888,10.319429715474447,9.674687385559082,0.6447423299153646
visual,9,4.414999999999999,-4.585000000000001,0.8116666666666666,0.07777777777777777,0.11055555555555556,10.734055201212565,10.05245844523112,0.6815967559814453
visual,10,4.452777777777778,-5.547222222222222,0.8833333333333333,0.11666666666666668,0.0,11.117823282877604,10.389122009277344,0.7287012736002604
