k,plan_h,subgoal,lam,expert_rank,top1_vs_ideal,regret,subgoal_mse_to_oracle
0,3,none,0.0,104.88333129882812,1.0,0.0,0.0
0,3,oracle,0.5,59.42499923706055,0.5333333333333333,0.03030233457684517,0.0
0,3,retrieval,0.5,85.20833587646484,0.525,0.02861960604786873,0.18312576413154602
0,5,none,0.0,67.50833129882812,1.0,0.0,0.0
0,5,oracle,0.5,18.441667556762695,0.49166666666666664,0.07190438359975815,0.0
0,5,retrieval,0.5,37.54999923706055,0.425,0.0630633533000946,0.23292341828346252
5,3,none,0.0,38.65833282470703,0.5833333333333334,0.11846865713596344,0.0
5,3,oracle,0.5,28.108333587646484,0.49166666666666664,0.1412612646818161,0.0
5,3,retrieval,0.5,50.40833282470703,0.4666666666666667,0.150958850979805,0.5138116478919983
5,5,none,0.0,15.466666221618652,0.6166666666666667,0.18212658166885376,0.0
5,5,oracle,0.5,13.483333587646484,0.625,0.19014447927474976,0.0
5,5,retrieval,0.5,32.141666412353516,0.5,0.23690740764141083,0.6101391911506653
8,3,none,0.0,66.25833129882812,0.24166666666666667,0.18856051564216614,0.0
8,3,oracle,0.5,54.63333511352539,0.18333333333333332,0.1921456903219223,0.0
8,3,retrieval,0.5,77.375,0.125,0.2010834813117981,0.7300623655319214
8,5,none,0.0,139.64999389648438,0.2,0.27236759662628174,0.0
8,5,oracle,0.5,93.4000015258789,0.14166666666666666,0.2729438543319702,0.0
8,5,retrieval,0.5,152.8000030517578,0.075,0.2605731785297394,0.8223048448562622
