feature,k,silhouette,contact_nmi,contact_ari,contact_purity,cluster_contact_rate_min,cluster_contact_rate_max
z_control,2,0.05175916850566864,0.01947241012973289,0.044449578494512185,0.6328125,0.44216216216216214,0.6454794520547945
z_control,3,0.05305891111493111,0.016098934174433303,0.046188262415534795,0.63046875,0.4441747572815534,0.6555740432612313
z_control,4,0.05653933808207512,0.007236065088994381,0.02520264495586998,0.62125,0.47705146036161333,0.6436363636363637
z_control,5,0.057146020233631134,0.009894983190832264,0.01984771225570505,0.62984375,0.44387755102040816,0.6775193798449612
z_control,6,0.06019117310643196,0.05032253370830496,0.06140318769117192,0.6709375,0.23932926829268292,0.878345498783455
z_control,8,0.06794514507055283,0.042842902812514086,0.04346172760913791,0.68078125,0.18138041733547353,0.7383720930232558
residual_dir,2,0.030656928196549416,0.009783910490429672,0.02053176050909432,0.61609375,0.550018733608093,0.6633610292146878
residual_dir,3,0.028273332864046097,0.011397619998052565,0.023934167109861487,0.61609375,0.5438792621576299,0.6910484151863462
residual_dir,4,0.02969394624233246,0.053491197871219726,0.031332202416386595,0.62015625,0.4919653893695921,0.9003021148036254
residual_dir,5,0.030098507180809975,0.050730921294768146,0.018170238989097257,0.62296875,0.4671641791044776,0.9633986928104575
residual_dir,6,0.03500693291425705,0.06647802832897248,0.04570217777141715,0.6759375,0.38808837656099904,0.9360189573459715
residual_dir,8,0.03679262474179268,0.09676915538360263,0.06823600784806881,0.69296875,0.3769633507853403,0.9971830985915493
jacobian_svals,2,0.39615827798843384,0.2980056667212433,0.3712650680237698,0.80475,0.28955696202531644,0.8897338403041825
jacobian_svals,3,0.2887366712093353,0.23676946955834788,0.22089698777559352,0.80925,0.21627260083449235,0.9454545454545454
jacobian_svals,4,0.2716105878353119,0.2343037923871357,0.22530539607232616,0.82075,0.15111940298507462,0.944380069524913
jacobian_svals,5,0.24702215194702148,0.2191707353385306,0.1725470814268178,0.78675,0.11016949152542373,0.9412515964240102
jacobian_svals,6,0.24901151657104492,0.19992817672394497,0.1602887722572674,0.788,0.12455516014234876,0.9513381995133819
jacobian_svals,8,0.22850659489631653,0.20047455451019003,0.12329446931009143,0.80675,0.09052631578947369,0.9655172413793104
